Size,MAPE,% in 10%,Coverage,MAPE_train,% in 10%_train
233,0.15719916148732574,0.8659889238449339,0.9841709783936976,0.003249131228896211,0.9948497854077253
239,0.17544917904405238,0.8836899716596033,0.9841709783936976,0.0038877074155676725,0.990794979079498
245,0.2082246643184376,0.8986297808169315,0.9841709783936976,0.0035233551340533077,0.9926530612244896
251,0.18963691292382412,0.8729362211070955,0.9841709783936976,0.0037283853022153203,0.9896414342629483
258,0.203480203117699,0.8805855281973948,0.9841709783936976,0.0032010051627920817,0.9945736434108527
264,0.1868633035754808,0.864912508775123,0.9841709783936976,0.003479962311844724,0.9931818181818182
271,0.17997032571297508,0.8824627544785628,0.9841709783936976,0.005481306535743038,0.9889298892988931
278,0.17798984459218065,0.8905800681209536,0.9841709783936976,0.004117816944532131,0.9913669064748202
285,0.18992992140465365,0.9065806921296898,0.9841709783936976,0.004201324712799402,0.990877192982456
293,0.16550282096053573,0.9245417435844102,0.9841709783936976,0.0048910154864684795,0.98839590443686
300,0.17156854521855183,0.917152440134162,0.9841709783936976,0.004953969807108902,0.9893333333333334
308,0.14905455526246128,0.9062790879072308,0.9849301890226464,0.004395077897756228,0.9902597402597403
316,0.14692563755626734,0.9088479238709342,0.9849301890226464,0.004563729934891815,0.9898734177215189
324,0.1423051872357159,0.8766022724318141,0.9849301890226464,0.005267627021976444,0.9876543209876543
332,0.14411087058020491,0.9144640024960349,0.9862718078053094,0.004879201713624729,0.9909638554216867
341,0.1433983389451939,0.9074387041418579,0.9862718078053094,0.0066792687389684,0.987683284457478
349,0.14058033981103915,0.8843035802501233,0.9862718078053094,0.005225728101078438,0.989111747851003
358,0.13591383980008057,0.8815163412287772,0.9862718078053094,0.00543462470778223,0.988826815642458
367,0.15212759899256906,0.8069940979173709,0.9862718078053094,0.0054594213196711445,0.9874659400544958
377,0.12745012726500857,0.9136215907022699,0.9862718078053094,0.005988067918833898,0.9872679045092839
386,0.134046940431495,0.8858896024544343,0.9862718078053094,0.006759295193423635,0.9870466321243523
396,0.16049648190368812,0.8812771378799302,0.9862718078053094,0.006822556749183739,0.9883838383838384
407,0.1357437192786961,0.8910428746002443,0.9862718078053094,0.007356895703163538,0.9837837837837838
417,0.1477601894111952,0.9212812979381712,0.9862718078053094,0.010302230291411741,0.9841726618705036
428,0.14309793695170558,0.914193598710382,0.9862718078053094,0.014320643130499754,0.9813084112149533
439,0.16394784685076547,0.8545591638282936,0.9875770260783652,0.009075787309760261,0.9831435079726651
450,0.1531373326952421,0.9103039442552197,0.9875770260783652,0.011865082678268373,0.9813333333333333
461,0.14038407182408527,0.880627128779803,0.9875770260783652,0.011406828808270451,0.9830802603036876
473,0.13249511290225383,0.856576792075089,0.9875770260783652,0.013247657041872515,0.9775898520084567
485,0.13258249601887845,0.8995657939211149,0.9875770260783652,0.01002979643818475,0.9818556701030928
498,0.14339166030840095,0.9084995189932659,0.9875770260783652,0.015026706368055046,0.978714859437751
